Name,Symbol,Price (USD),24h Change (%),7d Change (%),Market Cap,24h Volume,Timestamp
Bitcoin,BTC,111363.0,2.24286,1.7031036683272758,2215023704224,36138003242,2025-07-10 01:53:50
Ethereum,ETH,2769.21,6.10015,6.602302680239988,334307119476,25983128651,2025-07-10 01:53:50
Tether,USDT,1.0,0.01026,-0.0094445807037391,158704011351,66788778138,2025-07-10 01:53:50
XRP,XRP,2.41,4.76218,7.050643152952474,142630835320,4367838593,2025-07-10 01:53:50
BNB,BNB,670.12,1.53733,1.16874385851075,97782166588,843658922,2025-07-10 01:53:50
Solana,SOL,157.58,4.12265,2.449492960447079,84411042605,5300629348,2025-07-10 01:53:50
USDC,USDC,1.0,0.00977,0.0124945951539576,61897763247,4586961881,2025-07-10 01:53:50
TRON,TRX,0.289868,0.8351,2.061251761308868,27474745663,456692571,2025-07-10 01:53:50
Dogecoin,DOGE,0.181921,6.35186,5.986052956121911,27278759880,1798615315,2025-07-10 01:53:50
Lido Staked Ether,STETH,2769.48,6.15334,6.611136416742101,25284507362,39231280,2025-07-10 01:53:50
Bitcoin,BTC,111365.0,2.24453,1.7047642589295993,2215023704224,36116441372,2025-07-10 01:55:25
Ethereum,ETH,2768.33,6.06656,6.568558645600704,334307119476,26061608606,2025-07-10 01:55:25
Tether,USDT,1.0,0.01114,-0.0085709019366499,158704011351,66828637057,2025-07-10 01:55:25
XRP,XRP,2.41,4.77176,7.0604340272875294,142630835320,4330001838,2025-07-10 01:55:25
BNB,BNB,670.09,1.53225,1.1636806033792937,97782166588,844102786,2025-07-10 01:55:25
Solana,SOL,157.54,4.09999,2.427196947486187,84411042605,5303555678,2025-07-10 01:55:25
USDC,USDC,1.0,0.00977,0.0124945951539576,61897763247,4667665269,2025-07-10 01:55:25
TRON,TRX,0.289853,0.88411,2.0560593525843105,27474745663,458296132,2025-07-10 01:55:25
Dogecoin,DOGE,0.181772,6.26479,5.899282306364214,27278759880,1800159303,2025-07-10 01:55:25
Lido Staked Ether,STETH,2768.64,6.12109,6.578745028162475,25284507362,39407479,2025-07-10 01:55:25
Bitcoin,BTC,111356.0,2.21909,1.6966935415916693,2215023704224,36127616959,2025-07-10 01:56:54
Ethereum,ETH,2768.66,6.04951,6.581208537072524,334307119476,26094415909,2025-07-10 01:56:54
Tether,USDT,1.0,0.01145,-0.0076577057784386,158704011351,66903453800,2025-07-10 01:56:54
XRP,XRP,2.42,4.6877,7.070366318365316,142630835320,4341312697,2025-07-10 01:56:54
BNB,BNB,670.17,1.53569,1.1764941966922635,97764859712,845053468,2025-07-10 01:56:54
Solana,SOL,157.53,3.97323,2.418324866447936,84411042605,5305541105,2025-07-10 01:56:54
USDC,USDC,1.0,0.00982,0.0124945951539576,61897763247,5537630783,2025-07-10 01:56:54
TRON,TRX,0.28986,0.88644,2.058425330623382,27470651629,459104584,2025-07-10 01:56:54
Dogecoin,DOGE,0.181793,6.2623,5.91164345239714,27278759880,1800687431,2025-07-10 01:56:54
Lido Staked Ether,STETH,2766.82,6.00598,6.508417474502226,25284507362,39449226,2025-07-10 01:56:54
